# Kinova Gen3 Motion Plan
# Generated from trajectory: alpha_0p900
# Source experiment: w100_sum_z_constraint
# Generated on: 2025-08-27T08:09:05.264969
# Alpha: 0.9
# Length cost: 0.7540323596824643
# Obstacle cost: 9.140330603462637
# Total duration: 24.500 seconds
# Number of timesteps: 246
#
time_s,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad,joint7_rad
11.3000,-0.115938,-0.568214,0.515727,2.569179,0.156110,1.175533,-1.570139
11.4000,-0.114691,-0.565020,0.510921,2.569402,0.155583,1.174976,-1.570129
11.5000,-0.113444,-0.561827,0.506114,2.569626,0.155057,1.174419,-1.570119
11.6000,-0.112005,-0.557302,0.501032,2.569701,0.154340,1.173740,-1.570116
11.7000,-0.110566,-0.552776,0.495950,2.569776,0.153623,1.173061,-1.570114
11.8000,-0.109127,-0.548251,0.490868,2.569850,0.152906,1.172382,-1.570111
11.9000,-0.107688,-0.543726,0.485786,2.569925,0.152190,1.171702,-1.570108
12.0000,-0.106249,-0.539201,0.480703,2.570000,0.151473,1.171023,-1.570105
12.1000,-0.104482,-0.533362,0.475401,2.569887,0.150566,1.170249,-1.570104
12.2000,-0.102715,-0.527524,0.470099,2.569774,0.149660,1.169476,-1.570104
12.3000,-0.100948,-0.521686,0.464797,2.569661,0.148753,1.168702,-1.570103
12.4000,-0.099181,-0.515847,0.459495,2.569548,0.147846,1.167928,-1.570103
12.5000,-0.097414,-0.510009,0.454193,2.569435,0.146940,1.167155,-1.570102
12.6000,-0.095347,-0.502840,0.448935,2.569063,0.145861,1.166357,-1.570103
12.7000,-0.093280,-0.495671,0.443677,2.568690,0.144783,1.165559,-1.570104
12.8000,-0.091213,-0.488502,0.438420,2.568317,0.143705,1.164761,-1.570105
12.9000,-0.089146,-0.481333,0.433162,2.567944,0.142626,1.163963,-1.570106
13.0000,-0.087079,-0.474165,0.427904,2.567571,0.141548,1.163165,-1.570106
13.1000,-0.084808,-0.465738,0.422870,2.567152,0.140382,1.161841,-1.570108
13.2000,-0.082537,-0.457311,0.417836,2.566732,0.139217,1.160517,-1.570110
13.3000,-0.080266,-0.448884,0.412802,2.566312,0.138052,1.159193,-1.570111
13.4000,-0.077995,-0.440458,0.407767,2.565892,0.136886,1.157870,-1.570113
13.5000,-0.075723,-0.432031,0.402733,2.565472,0.135721,1.156546,-1.570114
13.6000,-0.073479,-0.422916,0.397916,2.565309,0.134560,1.154050,-1.570115
13.7000,-0.071234,-0.413801,0.393099,2.565146,0.133400,1.151555,-1.570116
13.8000,-0.068989,-0.404687,0.388282,2.564984,0.132239,1.149060,-1.570117
13.9000,-0.066745,-0.395572,0.383465,2.564821,0.131079,1.146564,-1.570118
14.0000,-0.064500,-0.386457,0.378649,2.564658,0.129919,1.144069,-1.570118
14.1000,-0.062378,-0.376903,0.374010,2.564679,0.128656,1.140279,-1.570117
14.2000,-0.060256,-0.367349,0.369371,2.564699,0.127393,1.136489,-1.570117
14.3000,-0.058134,-0.357795,0.364733,2.564719,0.126131,1.132699,-1.570116
14.4000,-0.056012,-0.348241,0.360094,2.564740,0.124868,1.128909,-1.570115
14.5000,-0.053890,-0.338687,0.355455,2.564760,0.123605,1.125118,-1.570114
14.6000,-0.051955,-0.328854,0.350950,2.564758,0.122092,1.120000,-1.570111
14.7000,-0.050021,-0.319022,0.346444,2.564756,0.120578,1.114881,-1.570109
14.8000,-0.048087,-0.309190,0.341939,2.564754,0.119065,1.109762,-1.570106
14.9000,-0.046152,-0.299357,0.337433,2.564752,0.117551,1.104643,-1.570104
15.0000,-0.044218,-0.289525,0.332928,2.564750,0.116037,1.099524,-1.570102
15.1000,-0.042504,-0.279545,0.328509,2.564430,0.114200,1.093110,-1.570099
15.2000,-0.040790,-0.269565,0.324090,2.564110,0.112363,1.086696,-1.570097
15.3000,-0.039076,-0.259586,0.319671,2.563791,0.110526,1.080282,-1.570094
15.4000,-0.037362,-0.249606,0.315251,2.563471,0.108688,1.073868,-1.570091
15.5000,-0.035648,-0.239626,0.310832,2.563151,0.106851,1.067454,-1.570089
15.6000,-0.034159,-0.229602,0.306464,2.562242,0.104694,1.059834,-1.570086
15.7000,-0.032670,-0.219578,0.302096,2.561333,0.102537,1.052214,-1.570082
15.8000,-0.031181,-0.209553,0.297728,2.560423,0.100379,1.044594,-1.570079
15.9000,-0.029693,-0.199529,0.293360,2.559514,0.098222,1.036975,-1.570076
16.0000,-0.028204,-0.189504,0.288992,2.558605,0.096065,1.029355,-1.570072
16.1000,-0.026930,-0.179506,0.284655,2.556910,0.093629,1.020631,-1.570069
16.2000,-0.025656,-0.169508,0.280318,2.555216,0.091192,1.011907,-1.570065
16.3000,-0.024383,-0.159510,0.275981,2.553522,0.088756,1.003184,-1.570061
16.4000,-0.023109,-0.149512,0.271644,2.551827,0.086320,0.994460,-1.570057
16.5000,-0.021835,-0.139514,0.267307,2.550133,0.083884,0.985736,-1.570053
16.6000,-0.020758,-0.129591,0.262998,2.547525,0.081223,0.975999,-1.570050
